year_read,work_id,sentiment,score
2018,59181816,joy,9
2018,59181816,sadness,7
2018,59181816,surprise,4
2018,59181816,trust,17
2018,6257025,anger,15
2018,6257025,anticipation,19
2018,6257025,disgust,12
2018,6257025,fear,17
2018,6257025,joy,20
2018,6257025,sadness,14
2018,6257025,surprise,10
2018,6257025,trust,23
2018,6558184,anger,17
2018,6558184,anticipation,6
2018,6558184,disgust,7
2018,6558184,fear,15
2018,6558184,joy,6
2018,6558184,sadness,15
2018,6558184,surprise,7
2018,6558184,trust,11
2018,6589483,anger,13
2018,6589483,anticipation,12
2018,6589483,disgust,7
2018,6589483,fear,21
2018,6589483,joy,12
2018,6589483,sadness,16
2018,6589483,surprise,11
2018,6589483,trust,18
2018,762606,anger,7
2018,762606,anticipation,20
2018,762606,disgust,6
2018,762606,fear,8
2018,762606,joy,3
2018,762606,sadness,12
2018,762606,surprise,4
2018,762606,trust,5
2018,849585,anger,23
2018,849585,anticipation,19
2018,849585,disgust,17
2018,849585,fear,34
2018,849585,joy,25
2018,849585,sadness,30
2018,849585,surprise,8
2018,849585,trust,25
2018,873021,anger,27
2018,873021,anticipation,37
2018,873021,disgust,20
2018,873021,fear,39
2018,873021,joy,28
2018,873021,sadness,33
2018,873021,surprise,15
2018,873021,trust,38
2018,948387,anger,10
2018,948387,anticipation,11
2018,948387,disgust,5
2018,948387,fear,12
2018,948387,joy,13
2018,948387,sadness,11
2018,948387,surprise,6
2018,948387,trust,17
2019,1008173,anger,1
2019,1008173,anticipation,1
2019,1008173,disgust,0
2019,1008173,fear,2
2019,1008173,joy,0
2019,1008173,sadness,1
2019,1008173,surprise,0
2019,1008173,trust,0
2019,1069597,anger,12
2019,1069597,anticipation,28
2019,1069597,disgust,9
2019,1069597,fear,17
2019,1069597,joy,18
2019,1069597,sadness,20
2019,1069597,surprise,9
2019,1069597,trust,26
2019,1119185,anger,12
2019,1119185,anticipation,21
2019,1119185,disgust,11
2019,1119185,fear,20
2019,1119185,joy,18
2019,1119185,sadness,22
2019,1119185,surprise,12
2019,1119185,trust,25
2019,111957,anger,2
2019,111957,anticipation,0
2019,111957,disgust,1
2019,111957,fear,4
2019,111957,joy,1
2019,111957,sadness,4
2019,111957,surprise,0
2019,111957,trust,2
2019,1119636,anger,0
2019,1119636,anticipation,0
2019,1119636,disgust,0
2019,1119636,fear,0
2019,1119636,joy,0
2019,1119636,sadness,0
2019,1119636,surprise,0
2019,1119636,trust,1
2019,1168377,anger,25
2019,1168377,anticipation,26
2019,1168377,disgust,16
2019,1168377,fear,31
2019,1168377,joy,19
2019,1168377,sadness,13
2019,1168377,surprise,16
2019,1168377,trust,38
2019,1188455,anger,10
2019,1188455,anticipation,13
2019,1188455,disgust,9
2019,1188455,fear,13
2019,1188455,joy,13
2019,1188455,sadness,11
2019,1188455,surprise,11
2019,1188455,trust,14
2019,1330000,anger,13
2019,1330000,anticipation,12
2019,1330000,disgust,8
2019,1330000,fear,18
2019,1330000,joy,12
2019,1330000,sadness,13
2019,1330000,surprise,9
2019,1330000,trust,12
2019,14566197,anger,1
2019,14566197,anticipation,1
2019,14566197,disgust,1
2019,14566197,fear,0
2019,14566197,joy,1
2019,14566197,sadness,1
2019,14566197,surprise,1
2019,14566197,trust,0
2019,1715242,anger,0
2019,1715242,anticipation,0
2019,1715242,disgust,3
2019,1715242,fear,4
2019,1715242,joy,1
2019,1715242,sadness,5
2019,1715242,surprise,1
2019,1715242,trust,2
2019,17382941,anger,12
2019,17382941,anticipation,42
2019,17382941,disgust,13
2019,17382941,fear,21
2019,17382941,joy,24
2019,17382941,sadness,20
2019,17382941,surprise,17
2019,17382941,trust,44
2019,18342702,anger,0
2019,18342702,anticipation,1
2019,18342702,disgust,0
2019,18342702,fear,0
2019,18342702,joy,0
2019,18342702,sadness,0
2019,18342702,surprise,0
2019,18342702,trust,0
2019,18444137,anger,20
2019,18444137,anticipation,28
2019,18444137,disgust,12
2019,18444137,fear,14
2019,18444137,joy,20
2019,18444137,sadness,16
2019,18444137,surprise,7
2019,18444137,trust,34
2019,18538203,anger,18
2019,18538203,anticipation,20
2019,18538203,disgust,11
2019,18538203,fear,27
2019,18538203,joy,23
2019,18538203,sadness,27
2019,18538203,surprise,7
2019,18538203,trust,21
2019,19256026,anger,25
2019,19256026,anticipation,28
2019,19256026,disgust,28
2019,19256026,fear,27
2019,19256026,joy,32
2019,19256026,sadness,28
2019,19256026,surprise,19
2019,19256026,trust,30
2019,216334,anger,13
2019,216334,anticipation,35
2019,216334,disgust,15
2019,216334,fear,23
2019,216334,joy,33
2019,216334,sadness,19
2019,216334,surprise,13
2019,216334,trust,44
2019,2371216,anger,48
2019,2371216,anticipation,45
2019,2371216,disgust,31
2019,2371216,fear,54
2019,2371216,joy,47
2019,2371216,sadness,48
2019,2371216,surprise,20
2019,2371216,trust,71
2019,23753235,anger,17
2019,23753235,anticipation,18
2019,23753235,disgust,14
2019,23753235,fear,20
2019,23753235,joy,13
2019,23753235,sadness,11
2019,23753235,surprise,10
2019,23753235,trust,19
2019,2640708,anger,5
2019,2640708,anticipation,7
2019,2640708,disgust,2
2019,2640708,fear,4
2019,2640708,joy,3
2019,2640708,sadness,4
2019,2640708,surprise,0
2019,2640708,trust,4
2019,2809203,anger,27
2019,2809203,anticipation,24
2019,2809203,disgust,18
2019,2809203,fear,19
2019,2809203,joy,15
2019,2809203,sadness,29
2019,2809203,surprise,17
2019,2809203,trust,19
2019,2866090,anger,15
2019,2866090,anticipation,7
2019,2866090,disgust,9
2019,2866090,fear,9
2019,2866090,joy,5
2019,2866090,sadness,10
2019,2866090,surprise,2
2019,2866090,trust,19
2019,316915,anger,1
2019,316915,anticipation,3
2019,316915,disgust,0
2019,316915,fear,3
